Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2021†","Rabies, Animal, Cum 2021†, flag","Rabies, Animal, Cum 2020†","Rabies, Animal, Cum 2020†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2021†","Rabies, Human, Cum 2021†, flag","Rabies, Human, Cum 2020†","Rabies, Human, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
US RESIDENTS,2021,5,6,,61,,45,,171,,,-,0,,,-,,-,,US RESIDENTS,20210501,
NEW HAMPSHIRE,2021,5,1,,4,,1,,3,,,-,0,,,-,,-,NEW HAMPSHIRE,,20210506,POINT (-71.57139 43.680429)
NEW YORK,2021,5,,-,26,,14,,27,,,-,0,,,-,,-,NEW YORK,,20210511,POINT (-75.59655 42.921241)
PACIFIC,2021,5,,-,13,,,-,5,,,-,0,,,-,,-,,PACIFIC,20210557,
WEST SOUTH CENTRAL,2021,5,2,,33,,11,,22,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20210543,
NEBRASKA,2021,5,,-,4,,1,,,-,,-,0,,,-,,-,NEBRASKA,,20210525,POINT (-99.810595 41.527099)
NORTH DAKOTA,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20210526,POINT (-100.46931 47.446305)
NEVADA,2021,5,,-,2,,,-,,-,,-,0,,,-,,-,NEVADA,,20210553,POINT (-114.916992 39.283294)
ILLINOIS,2021,5,,-,6,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20210515,POINT (-89.148632 40.124144)
IOWA,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20210521,POINT (-93.500061 42.074659)
TEXAS,2021,5,2,,33,,9,,18,,,-,0,,,-,,-,TEXAS,,20210547,POINT (-99.317341 31.447238)
ALASKA,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20210558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210530,POINT (-77.016275 38.904785)
WASHINGTON,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20210562,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,5,3,,7,,6,,11,,,-,0,,,-,,-,,NEW ENGLAND,20210502,
RHODE ISLAND,2021,5,,-,4,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20210507,POINT (-71.534637 41.572574)
OREGON,2021,5,,-,2,,,-,,-,,-,0,,,-,,-,OREGON,,20210561,POINT (-120.605279 43.940449)
